"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EXCH","TOT","NATUSD","A","2018",1.338412,
"AUS","EXCH","TOT","NATUSD","A","2019",1.438507,
"AUS","EXCH","TOT","NATUSD","A","2020",1.453085,
"AUS","EXCH","TOT","NATUSD","A","2021",1.331224,
"AUT","EXCH","TOT","NATUSD","A","2018",0.846773,
"AUT","EXCH","TOT","NATUSD","A","2019",0.893276,
"AUT","EXCH","TOT","NATUSD","A","2020",0.875506,
"AUT","EXCH","TOT","NATUSD","A","2021",0.845494,
"BEL","EXCH","TOT","NATUSD","A","2018",0.846773,
"BEL","EXCH","TOT","NATUSD","A","2019",0.893276,
"BEL","EXCH","TOT","NATUSD","A","2020",0.875506,
"BEL","EXCH","TOT","NATUSD","A","2021",0.845494,
"CAN","EXCH","TOT","NATUSD","A","2018",1.295818,
"CAN","EXCH","TOT","NATUSD","A","2019",1.326793,
"CAN","EXCH","TOT","NATUSD","A","2020",1.341153,
"CAN","EXCH","TOT","NATUSD","A","2021",1.253877,
"CZE","EXCH","TOT","NATUSD","A","2018",21.729917,
"CZE","EXCH","TOT","NATUSD","A","2019",22.93225,
"CZE","EXCH","TOT","NATUSD","A","2020",23.21025,
"CZE","EXCH","TOT","NATUSD","A","2021",21.678167,
"DNK","EXCH","TOT","NATUSD","A","2018",6.314619,
"DNK","EXCH","TOT","NATUSD","A","2019",6.669447,
"DNK","EXCH","TOT","NATUSD","A","2020",6.542152,
"DNK","EXCH","TOT","NATUSD","A","2021",6.287113,
"FIN","EXCH","TOT","NATUSD","A","2018",0.846773,
"FIN","EXCH","TOT","NATUSD","A","2019",0.893276,
"FIN","EXCH","TOT","NATUSD","A","2020",0.875506,
"FIN","EXCH","TOT","NATUSD","A","2021",0.845494,
"FRA","EXCH","TOT","NATUSD","A","2018",0.846773,
"FRA","EXCH","TOT","NATUSD","A","2019",0.893276,
"FRA","EXCH","TOT","NATUSD","A","2020",0.875506,
"FRA","EXCH","TOT","NATUSD","A","2021",0.845494,
"DEU","EXCH","TOT","NATUSD","A","2018",0.846773,
"DEU","EXCH","TOT","NATUSD","A","2019",0.893276,
"DEU","EXCH","TOT","NATUSD","A","2020",0.875506,
"DEU","EXCH","TOT","NATUSD","A","2021",0.845494,
"GRC","EXCH","TOT","NATUSD","A","2018",0.846773,
"GRC","EXCH","TOT","NATUSD","A","2019",0.893276,
"GRC","EXCH","TOT","NATUSD","A","2020",0.875506,
"GRC","EXCH","TOT","NATUSD","A","2021",0.845494,
"HUN","EXCH","TOT","NATUSD","A","2018",270.211667,
"HUN","EXCH","TOT","NATUSD","A","2019",290.66,
"HUN","EXCH","TOT","NATUSD","A","2020",307.996667,
"HUN","EXCH","TOT","NATUSD","A","2021",303.140833,
"ISL","EXCH","TOT","NATUSD","A","2018",108.300176,
"ISL","EXCH","TOT","NATUSD","A","2019",122.606774,
"ISL","EXCH","TOT","NATUSD","A","2020",135.421712,
"ISL","EXCH","TOT","NATUSD","A","2021",126.98886,
"IRL","EXCH","TOT","NATUSD","A","2018",0.846773,
"IRL","EXCH","TOT","NATUSD","A","2019",0.893276,
"IRL","EXCH","TOT","NATUSD","A","2020",0.875506,
"IRL","EXCH","TOT","NATUSD","A","2021",0.845494,
"ITA","EXCH","TOT","NATUSD","A","2018",0.846773,
"ITA","EXCH","TOT","NATUSD","A","2019",0.893276,
"ITA","EXCH","TOT","NATUSD","A","2020",0.875506,
"ITA","EXCH","TOT","NATUSD","A","2021",0.845494,
"JPN","EXCH","TOT","NATUSD","A","2018",110.423179,
"JPN","EXCH","TOT","NATUSD","A","2019",109.009666,
"JPN","EXCH","TOT","NATUSD","A","2020",106.774582,
"JPN","EXCH","TOT","NATUSD","A","2021",109.754324,
"KOR","EXCH","TOT","NATUSD","A","2018",1100.163333,
"KOR","EXCH","TOT","NATUSD","A","2019",1165.3575,
"KOR","EXCH","TOT","NATUSD","A","2020",1180.265833,
"KOR","EXCH","TOT","NATUSD","A","2021",1143.951667,
"LUX","EXCH","TOT","NATUSD","A","2018",0.846773,
"LUX","EXCH","TOT","NATUSD","A","2019",0.893276,
"LUX","EXCH","TOT","NATUSD","A","2020",0.875506,
"LUX","EXCH","TOT","NATUSD","A","2021",0.845494,
"MEX","EXCH","TOT","NATUSD","A","2018",19.244342,
"MEX","EXCH","TOT","NATUSD","A","2019",19.263633,
"MEX","EXCH","TOT","NATUSD","A","2020",21.485608,
"MEX","EXCH","TOT","NATUSD","A","2021",20.272408,
"NLD","EXCH","TOT","NATUSD","A","2018",0.846773,
"NLD","EXCH","TOT","NATUSD","A","2019",0.893276,
"NLD","EXCH","TOT","NATUSD","A","2020",0.875506,
"NLD","EXCH","TOT","NATUSD","A","2021",0.845494,
"NZL","EXCH","TOT","NATUSD","A","2018",1.445258,
"NZL","EXCH","TOT","NATUSD","A","2019",1.517875,
"NZL","EXCH","TOT","NATUSD","A","2020",1.542058,
"NZL","EXCH","TOT","NATUSD","A","2021",1.4138,
"NOR","EXCH","TOT","NATUSD","A","2018",8.1325,
"NOR","EXCH","TOT","NATUSD","A","2019",8.8,
"NOR","EXCH","TOT","NATUSD","A","2020",9.415833,
"NOR","EXCH","TOT","NATUSD","A","2021",8.59,
"POL","EXCH","TOT","NATUSD","A","2018",3.611717,
"POL","EXCH","TOT","NATUSD","A","2019",3.839375,
"POL","EXCH","TOT","NATUSD","A","2020",3.899742,
"POL","EXCH","TOT","NATUSD","A","2021",3.861917,
"PRT","EXCH","TOT","NATUSD","A","2018",0.846773,
"PRT","EXCH","TOT","NATUSD","A","2019",0.893276,
"PRT","EXCH","TOT","NATUSD","A","2020",0.875506,
"PRT","EXCH","TOT","NATUSD","A","2021",0.845494,
"SVK","EXCH","TOT","NATUSD","A","2018",0.846773,
"SVK","EXCH","TOT","NATUSD","A","2019",0.893276,
"SVK","EXCH","TOT","NATUSD","A","2020",0.875506,
"SVK","EXCH","TOT","NATUSD","A","2021",0.845494,
"ESP","EXCH","TOT","NATUSD","A","2018",0.846773,
"ESP","EXCH","TOT","NATUSD","A","2019",0.893276,
"ESP","EXCH","TOT","NATUSD","A","2020",0.875506,
"ESP","EXCH","TOT","NATUSD","A","2021",0.845494,
"SWE","EXCH","TOT","NATUSD","A","2018",8.692518,
"SWE","EXCH","TOT","NATUSD","A","2019",9.458349,
"SWE","EXCH","TOT","NATUSD","A","2020",9.210309,
"SWE","EXCH","TOT","NATUSD","A","2021",8.576567,
"CHE","EXCH","TOT","NATUSD","A","2018",0.977892,
"CHE","EXCH","TOT","NATUSD","A","2019",0.993709,
"CHE","EXCH","TOT","NATUSD","A","2020",0.938965,
"CHE","EXCH","TOT","NATUSD","A","2021",0.913846,
"TUR","EXCH","TOT","NATUSD","A","2018",4.82837,
"TUR","EXCH","TOT","NATUSD","A","2019",5.673819,
"TUR","EXCH","TOT","NATUSD","A","2020",7.008605,
"TUR","EXCH","TOT","NATUSD","A","2021",8.850408,
"GBR","EXCH","TOT","NATUSD","A","2018",0.749532,
"GBR","EXCH","TOT","NATUSD","A","2019",0.783445,
"GBR","EXCH","TOT","NATUSD","A","2020",0.78,
"GBR","EXCH","TOT","NATUSD","A","2021",0.727065,
"USA","EXCH","TOT","NATUSD","A","2018",1,
"USA","EXCH","TOT","NATUSD","A","2019",1,
"USA","EXCH","TOT","NATUSD","A","2020",1,
"USA","EXCH","TOT","NATUSD","A","2021",1,
"BRA","EXCH","TOT","NATUSD","A","2018",3.653825,
"BRA","EXCH","TOT","NATUSD","A","2019",3.944471,
"BRA","EXCH","TOT","NATUSD","A","2020",5.155179,
"BRA","EXCH","TOT","NATUSD","A","2021",5.394401,
"CHL","EXCH","TOT","NATUSD","A","2018",641.276813,
"CHL","EXCH","TOT","NATUSD","A","2019",702.897423,
"CHL","EXCH","TOT","NATUSD","A","2020",792.727206,
"CHL","EXCH","TOT","NATUSD","A","2021",758.955379,
"CHN","EXCH","TOT","NATUSD","A","2018",6.615957,
"CHN","EXCH","TOT","NATUSD","A","2019",6.908385,
"CHN","EXCH","TOT","NATUSD","A","2020",6.900767,
"CHN","EXCH","TOT","NATUSD","A","2021",6.448975,
"COL","EXCH","TOT","NATUSD","A","2018",2955.70397,
"COL","EXCH","TOT","NATUSD","A","2019",3281.622194,
"COL","EXCH","TOT","NATUSD","A","2020",3693.275833,
"COL","EXCH","TOT","NATUSD","A","2021",3744.244167,
"EST","EXCH","TOT","NATUSD","A","2018",0.846773,
"EST","EXCH","TOT","NATUSD","A","2019",0.893276,
"EST","EXCH","TOT","NATUSD","A","2020",0.875506,
"EST","EXCH","TOT","NATUSD","A","2021",0.845494,
"IND","EXCH","TOT","NATUSD","A","2018",68.389467,
"IND","EXCH","TOT","NATUSD","A","2019",70.420341,
"IND","EXCH","TOT","NATUSD","A","2020",74.099567,
"IND","EXCH","TOT","NATUSD","A","2021",73.918013,
"IDN","EXCH","TOT","NATUSD","A","2018",14236.938773,
"IDN","EXCH","TOT","NATUSD","A","2019",14147.671361,
"IDN","EXCH","TOT","NATUSD","A","2020",14582.203468,
"IDN","EXCH","TOT","NATUSD","A","2021",14308.143901,
"ISR","EXCH","TOT","NATUSD","A","2018",3.590558,
"ISR","EXCH","TOT","NATUSD","A","2019",3.564527,
"ISR","EXCH","TOT","NATUSD","A","2020",3.442406,
"ISR","EXCH","TOT","NATUSD","A","2021",3.230198,
"RUS","EXCH","TOT","NATUSD","A","2018",62.668133,
"RUS","EXCH","TOT","NATUSD","A","2019",64.737658,
"RUS","EXCH","TOT","NATUSD","A","2020",72.104908,
"RUS","EXCH","TOT","NATUSD","A","2021",73.65435,
"SVN","EXCH","TOT","NATUSD","A","2018",0.846773,
"SVN","EXCH","TOT","NATUSD","A","2019",0.893276,
"SVN","EXCH","TOT","NATUSD","A","2020",0.875506,
"SVN","EXCH","TOT","NATUSD","A","2021",0.845494,
"ZAF","EXCH","TOT","NATUSD","A","2018",13.233926,
"ZAF","EXCH","TOT","NATUSD","A","2019",14.448427,
"ZAF","EXCH","TOT","NATUSD","A","2020",16.459105,
"ZAF","EXCH","TOT","NATUSD","A","2021",14.778678,
"LVA","EXCH","TOT","NATUSD","A","2018",0.846773,
"LVA","EXCH","TOT","NATUSD","A","2019",0.893276,
"LVA","EXCH","TOT","NATUSD","A","2020",0.875506,
"LVA","EXCH","TOT","NATUSD","A","2021",0.845494,
"LTU","EXCH","TOT","NATUSD","A","2018",0.846773,
"LTU","EXCH","TOT","NATUSD","A","2019",0.893276,
"LTU","EXCH","TOT","NATUSD","A","2020",0.875506,
"LTU","EXCH","TOT","NATUSD","A","2021",0.845494,
"SAU","EXCH","TOT","NATUSD","A","2018",3.75,
"SAU","EXCH","TOT","NATUSD","A","2019",3.75,
"SAU","EXCH","TOT","NATUSD","A","2020",3.75,
"SAU","EXCH","TOT","NATUSD","A","2021",3.75,
"EA19","EXCH","TOT","NATUSD","A","2018",0.846773,
"EA19","EXCH","TOT","NATUSD","A","2019",0.893276,
"EA19","EXCH","TOT","NATUSD","A","2020",0.875506,
"EA19","EXCH","TOT","NATUSD","A","2021",0.845494,
"ARG","EXCH","TOT","NATUSD","A","2018",28.094992,
"ARG","EXCH","TOT","NATUSD","A","2019",48.147892,
"ARG","EXCH","TOT","NATUSD","A","2020",70.539167,
"ARG","EXCH","TOT","NATUSD","A","2021",94.990742,
"CRI","EXCH","TOT","NATUSD","A","2018",576.972501,
"CRI","EXCH","TOT","NATUSD","A","2019",587.294596,
"CRI","EXCH","TOT","NATUSD","A","2020",584.900855,
"CRI","EXCH","TOT","NATUSD","A","2021",620.78472,
"BGR","EXCH","TOT","NATUSD","A","2018",1.657042,
"BGR","EXCH","TOT","NATUSD","A","2019",1.747042,
"BGR","EXCH","TOT","NATUSD","A","2020",1.716333,
"BGR","EXCH","TOT","NATUSD","A","2021",1.653775,
"HRV","EXCH","TOT","NATUSD","A","2018",0.83337,
"HRV","EXCH","TOT","NATUSD","A","2019",0.878963,
"HRV","EXCH","TOT","NATUSD","A","2020",0.877836,
"HRV","EXCH","TOT","NATUSD","A","2021",0.844128,
"CYP","EXCH","TOT","NATUSD","A","2018",0.846773,
"CYP","EXCH","TOT","NATUSD","A","2019",0.893276,
"CYP","EXCH","TOT","NATUSD","A","2020",0.875506,
"CYP","EXCH","TOT","NATUSD","A","2021",0.845494,
"MLT","EXCH","TOT","NATUSD","A","2018",0.846773,
"MLT","EXCH","TOT","NATUSD","A","2019",0.893276,
"MLT","EXCH","TOT","NATUSD","A","2020",0.875506,
"MLT","EXCH","TOT","NATUSD","A","2021",0.845494,
"ROU","EXCH","TOT","NATUSD","A","2018",3.941617,
"ROU","EXCH","TOT","NATUSD","A","2019",4.237925,
"ROU","EXCH","TOT","NATUSD","A","2020",4.243992,
"ROU","EXCH","TOT","NATUSD","A","2021",4.160417,
"MKD","EXCH","TOT","NATUSD","A","2018",52.107108,
"MKD","EXCH","TOT","NATUSD","A","2019",54.9472,
"MKD","EXCH","TOT","NATUSD","A","2020",54.144325,
"MKD","EXCH","TOT","NATUSD","A","2021",52.102158,
"MDG","EXCH","TOT","NATUSD","A","2018",3334.752255,
"MDG","EXCH","TOT","NATUSD","A","2019",3618.321858,
"MDG","EXCH","TOT","NATUSD","A","2020",3787.754058,
"MDG","EXCH","TOT","NATUSD","A","2021",3829.977849,
"MAR","EXCH","TOT","NATUSD","A","2018",9.386102,
"MAR","EXCH","TOT","NATUSD","A","2019",9.617076,
"MAR","EXCH","TOT","NATUSD","A","2020",9.496847,
"MAR","EXCH","TOT","NATUSD","A","2021",8.988484,
"ZMB","EXCH","TOT","NATUSD","A","2018",10.458333,
"ZMB","EXCH","TOT","NATUSD","A","2019",12.89,
"ZMB","EXCH","TOT","NATUSD","A","2020",18.344093,
"ZMB","EXCH","TOT","NATUSD","A","2021",20.018487,
"SRB","EXCH","TOT","NATUSD","A","2018",100.175075,
"SRB","EXCH","TOT","NATUSD","A","2019",105.249558,
"SRB","EXCH","TOT","NATUSD","A","2020",103.163292,
"SRB","EXCH","TOT","NATUSD","A","2021",99.395942,
"HKG","EXCH","TOT","NATUSD","A","2018",7.8385,
"HKG","EXCH","TOT","NATUSD","A","2019",7.835917,
"HKG","EXCH","TOT","NATUSD","A","2020",7.75725,
"HKG","EXCH","TOT","NATUSD","A","2021",7.77325,
"EU27_2020","EXCH","TOT","NATUSD","A","2018",0.846773,
"EU27_2020","EXCH","TOT","NATUSD","A","2019",0.893276,
"EU27_2020","EXCH","TOT","NATUSD","A","2020",0.875506,
"EU27_2020","EXCH","TOT","NATUSD","A","2021",0.845494,
"ALB","EXCH","TOT","NATUSD","A","2018",107.989167,
"ALB","EXCH","TOT","NATUSD","A","2019",109.850833,
"ALB","EXCH","TOT","NATUSD","A","2020",108.65,
"ALB","EXCH","TOT","NATUSD","A","2021",103.52,
"SGP","EXCH","TOT","NATUSD","A","2018",1.348842,
"SGP","EXCH","TOT","NATUSD","A","2019",1.364158,
"SGP","EXCH","TOT","NATUSD","A","2020",1.379742,
"SGP","EXCH","TOT","NATUSD","A","2021",1.343483,
"GEO","EXCH","TOT","NATUSD","A","2018",2.534111,
"GEO","EXCH","TOT","NATUSD","A","2019",2.818145,
"GEO","EXCH","TOT","NATUSD","A","2020",3.109017,
"GEO","EXCH","TOT","NATUSD","A","2021",3.221558,
"CMR","EXCH","TOT","NATUSD","A","2018",555.446458,
"CMR","EXCH","TOT","NATUSD","A","2019",585.911013,
"CMR","EXCH","TOT","NATUSD","A","2020",575.586005,
"CMR","EXCH","TOT","NATUSD","A","2021",554.530675,
"SEN","EXCH","TOT","NATUSD","A","2018",555.446458,
"SEN","EXCH","TOT","NATUSD","A","2019",585.911013,
"SEN","EXCH","TOT","NATUSD","A","2020",575.586005,
"SEN","EXCH","TOT","NATUSD","A","2021",554.530675,
