Company/Brand,HeadQuarter,Sector,What it does,Amount($),Funding Year
Deftouch,Bangalore,—,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,1.0,2018
Doodhwala,Bangalore,"Food Delivery, Organic, Organic Food",Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2200000.0,2018
DronaHQ,Mumbai,Mobile,DronaHQ is an enterprise mobile engagement platform.,500000.0,2018
FastFox,Gurgaon,Rental,FastFox: Market Network for Home Rentals (India),1462213.4721418433,2018
BuyForexOnline,Bangalore,Travel,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2000000.0,2018
Colive.in,Bangalore,Consumer,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,1800000.0,2018
Agricxlab Private Limited,Thane,"B2B, Farming, Marketplace",Online marketplace where farmers and traders can sell their produce to B2B buyers,500000.0,2018
Corefactors,Bangalore,—,"Corefactors is a leading campaign management, business communication and analytics company.",1.0,2018
Fincash.com,Mumbai,Wealth Management,A startup in the personal finance space in India .,150000.0,2018
Pandorum Technologies,Bangalore,Biotechnology,Bengaluru based biotech startup.,3600000.0,2018
Shirsa Labs,Mumbai,"Education, Gaming, Training",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,500000.0,2018
PetSutra,Gurgaon,Veterinary,Gurugram-based Online petcare platform.,138910.2798534751,2018
Awaaz De,Ahmedabad,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,1.0,2018
PinkBlue,Bangalore,"Health Care, Hospital, Supply Chain Management",PinkBlue.in - Super-efficient supply-chain for clinical supplies,300000.0,2018
Eduvanz,Mumbai,"Finance, Financial Services","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",500000.0,2018
Rupeek,Bangalore,"Financial Services, Lending",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,6830000.0,2018
Backpacker Panda Holidays Private Limited,Pune,"Tourism, Travel",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,1400000.0,2018
Shape (School Health and Physical Education),Pune,Education,Physical education start up,200000.0,2018
Placio,Noida,"Hospitality, Real Estate",Placio is a student housing and a complete broker-free platform.,2000000.0,2018
Aviom India Housing Finance,Delhi,Finance,Delhi based housing finance company.,2193320.208212765,2018
GenRobotic,Trivandrum,Market Research,A Robotic Company.,1.0,2018
HeyHolidays,Bangalore,"Tourism, Travel","HeyHolidays, a global player in online vacation rentals.",1000000.0,2018
Pratilipi,Bangalore,"Digital Media, EBooks, Publishing, Reading Apps",Amazon's Kindle Direct Publishing for Indian Languages,4300000.0,2018
SectorQube,Ernakulam,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",SectorQube develops smart kitchen devices that make food automatically.,1.0,2018
Food Memories,Ahmedabad,"Food and Beverage, Food Processing",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,1.0,2018
ZAMROO,India,"Internet, Marketplace, Shopping",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,1.0,2018
Silversparro Technologies Pvt. Ltd,Gurgaon,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Silversparro is a deep learning technology solution provider.,300000.0,2018
Creator’s Gurukul,Gurgaon,Facilities Support Services,A coworking space provider.,1.0,2018
Emflux Motors,Bangalore,"Automotive, Electric Vehicle, Energy",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,364846.0,2018
Tricog Health Services Pvt Ltd,Bangalore,"Health Care, Health Diagnostics, Predictive Analytics",Predictive Healthcare Analytics Company,4000000.0,2018
Scapic,Bangalore,"Cloud Computing, Computer, SaaS, Software",Virtual/Augmented Reality Start Up .,500000.0,2018
6Degree,Mumbai,"Fashion, Lifestyle, Retail",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,400000.0,2018
Chrysalis (EZ Vidya),Chennai,Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,1.0,2018
Ekincare,Hyderabad,Medical,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,1500000.0,2018
Streo,Gurgaon,Music Streaming,"Live stream music from nightclubs, bars & festivals!",1.0,2018
Groww,Kormangala,"Finance, Impact Investing, Internet",Groww offers a new way of investing money.,120000.0,2018
Cell Propulsion,Bangalore,—,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,102354.94304992902,2018
Chezuba,Hyderabad,"Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,20470.988609985805,2018
Ontrack Technologies Pvt. Ltd,Bangalore,Retail,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,1.0,2018
Wealthtrust,Mumbai,"Finance, Impact Investing, Mobile Apps",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,500000.0,2018
Faclon Labs,Mumbai,"Cloud Computing, Computer, Software",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,1.0,2018
Awign Enterprises,Bangalore,"Business Development, Market Research, Outsourcing",Operations and manpower outsourcing startup,731106.7360709216,2018
CollPoll,Bangalore,Education,World-class Enterprise System for Education.,1.0,2018
Zyla Health,Delhi,"Health Care, Hospitality",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,1.0,2018
Hubhopper,Delhi,"Internet, Social News, Sports",Get your daily dose of interest as summaries from news and magazine stories .,500000.0,2018
Rubix108 Technologies,Pune,Information Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,1000000.0,2018
Workflexi,Bangalore,Human Resources,"Be Smart, Work on Contract,Be Smart, Hire on Contract",146221.34721418432,2018
Streak,Bangalore,Financial Services,Algorithmic trading platform.,328998.0312319147,2018
Kuants,Gurgaon,Financial Services,Algorithmic trading platform.,73110.67360709216,2018
NiYO Solutions,Bangalore,"Finance, Financial Services, FinTech",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,13200000.0,2018
Hippo Video,Chennai,"Customer Service, Software, Video, Video Streaming",A video recording and sharing software.,1.0,2018
Satvacart,Gurgaon,"E-Commerce, Food Processing",Satvacart is a Gurgaon’s largest online supermarket,1.0,2018
Daaki,Bangalore,Health Care,Sports Nutrition startup,1.0,2018
Simulanis,Delhi,Training,A Delhi-based Augmented Reality and Virtual Reality technology development company.,500000.0,2018
MY CHIRAAG CAB,Jaipur,Travel,MY CHIRAAG CAB SERVICES PVT LTD,1000000.0,2018
WOTU,Bangalore,Food and Beverage,It operates a business-to-business e-commerce portal for food and beverages.,1.0,2018
Flathalt,Gurgaon,—,FInd your Customized Home here.,50000.0,2018
True Elements,Pune,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,731106.7360709216,2018
Trendlyne Technologies,Bangalore,Financial Services,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,200000.0,2018
Planys Technologies,Chennai,"Manufacturing, Oil and Gas, Robotics",Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2050023.2879428642,2018
HealthPlix,Bangalore,"Fitness, Health Care, Wellness",HealthPlix is a healthtech startup,3000000.0,2018
dishq,Bangalore,—,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,400000.0,2018
Entropik Technology,Bangalore,"Artificial Intelligence, Computer, Machine Learning",The boundaries between Human and Machines are shrinking fast.,1100000.0,2018
myHQ,Delhi,"Collaboration, Communities, Coworking, Sharing Economy",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,500000.0,2018
Trell,Bangalore,—,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,1250000.0,2018
Kidovators (by GyanLab),Bangalore,"Big Data, EdTech, Machine Learning",Building future human capital through 21st Century Skills programs for K-12,180000.0,2018
Log 9 Materials,Uttar Pradesh,Nanotechnology,Log 9 Materials is a nano-materials manufacturing and RnD startup,438664.04164255294,2018
VTION,Gurgaon,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,280744.9866512339,2018
HousingMan.com,Bangalore,—,"New Apartments, Flats for Sale in Bangalore",1506079.8763060984,2018
Steradian Semiconductors,Bangalore,—,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,1.0,2018
RupeeCircle,Mumbai,"Financial Services, Lending, Peer to Peer",RupeeCircle is a new age finance company.,584885.3888567373,2018
Wooden Street,Jaipur,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,1000000.0,2018
The Ken,Bangalore,Digital Media,The Ken is India’s first subscriptions-only business news site,1500000.0,2018
SaffronStays,Mumbai,—,SaffronStays connects travellers to India's Incredible hosts.,2000000.0,2018
Vebbler,Bangalore,"File Sharing, Personalization, Social Media",A personal network for close people,1.0,2018
Foyr,Pune,"Home Decor, Interior Design","Foyr.com is India's first online, automated interior designer",4200000.0,2018
MEngage,Jaipur,"Health Care, Medical Device, Mobile Apps",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,175000.0,2018
Inner Being Wellness,Hyderabad,—,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",511774.7152496451,2018
Kobster,Chennai,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,1.0,2018
Wishberry,Mumbai,"Crowdfunding, Finance, Financial Services",Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,1462213.4721418433,2018
McXtra,Andheri,"Finance, Financial Services, Insurance",McXtra is a digital insurance broking startup.,1300000.0,2018
Magic Crate,Bangalore,"Children, Education, Online Portals","Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",1.0,2018
SmartVizX,Noida,"Software, Virtual Reality",It is a Virtual Reality Solutions StartUp,1450000.0,2018
MySEODoc,Delhi,—,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",1.0,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,Pune,—,Digital Marketing Agency,2924.426944283686,2018
Scale Labs,Delhi,—,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,1000000.0,2018
HungerBox,Bangalore,"B2B, Food and Beverage, Food Delivery",HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,4500000.0,2018
Biryani By Kilo,Noida,"Catering, Food and Beverage, Food Delivery, Food Processing",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,1000000.0,2018
Wholesome Habits (EAT Anytime),Mumbai,"Food and Beverage, Snack Food",Wholesome Habits (EAT Anytime) is a healthy snacks Company.,500000.0,2018
GoBumpr,Mylapore,"Automotive, E-Commerce, Mobile",Car Service and Bike Service Mobile App,600000.0,2018
Fixpocket,Ahmedabad,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Fixpocket is a internet-based startup.,250000.0,2018
edureka!,Bangalore,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development","Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2000000.0,2018
Hashtag Loyalty Private Limited,Mumbai,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,1.0,2018
Wow Express,Mumbai,"Delivery, Information Technology, Mobile Apps","WOW, as customers react to his studiously taught, trained, polite and courteous nature.",4500000.0,2018
ZunRoof,Gurgaon,"Environmental Consulting, Renewable Energy",ZunRoof is a rooftop focused solar startup.,242727.43637554598,2018
Eggoz,Indore,"Food and Beverage, Food Processing",Eggoz is a full-stack layer poultry business operator & service provider .,175465.6166570212,2018
Sqrrl Fintech,Gurgaon,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Personal Finance,1000000.0,2018
GalaxyCard,Noida,"Finance, Financial Services, FinTech",GalaxyCard is a mobile based Instant credit card.,1.0,2018
IndiQube,Bangalore,"Commercial Real Estate, Coworking, Office Administration, Real Estate",IndiQube is a provider of co-working spaces based in Bengaluru.,15000000.0,2018
EGK Foods,Mumbai,"Food and Beverage, Food Processing, Organic Food, Snack Food",A food processing enterprise registered with StartUp India .,292442.69442836865,2018
NirogStreet,Gurgaon,"Apps, Health Care, Internet, Mobile Apps, Personal Health",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,300000.0,2018
Pixr8,Ghaziabad,"Digital Media, Incubators, Social Entrepreneurship",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,50000.0,2018
Nivesh.com,Noida,"Finance, Financial Services, Marketing",Nivesh.com is a mass market mutual funds investment platform.,438664.04164255294,2018
Theranosis Life Sciences,Hyderabad,"Biotechnology, Health Care, Life Science, Medical Device",A fully functioning cell culture facility and molecular biology setup.,1.0,2018
Poshmiles Online Solutions Private Limited,Bangalore,Travel,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,1.0,2018
Reculta,Noida,"Education, Human Resources",A campus recruitment solution provider.,1.0,2018
Orbo.ai,Mumbai,Internet,Orbo is a computer vision and deep facial technology company.,1.0,2018
Inntot Technologies,Kochi,Consumer Electronics,"Inntot Technologies, is a technology driven company.",1.0,2018
Zoctr Health,Powai,"Apps, Health Care, Hospital, Mobile Apps",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,1.0,2018
Hey Deedee,Mumbai,"Delivery Service, Logistics, Service Industry",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,482530.44580680825,2018
DigiConnectt Technologys,Bangalore,"Information Services, Information Technology",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,125000.0,2018
Locus.sh,Bangalore,"Big Data, Data Visualization, Logistics, Software",Locus is an intelligent logistics automation platform.,4000000.0,2018
Sports Flashes Pvt. Ltd,Delhi,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",1000000.0,2018
Inc42,Delhi,"Media and Entertainment, News, Publishing",Inc42 is one of the leading tech media publications of India.,1.0,2018
Picxy,Guntur,Internet,"A stock photo startup based in Amravati, Andhra Pradesh.",130000.0,2018
Huddle,Haryana,Consulting,A coworking incubator Company.,300000.0,2018
Benepik,Gurgaon,Human Resources,HR Technology start-up.,1.0,2018
Cash Suvidha,Delhi,Finance,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,1000000.0,2018
Smartcoin,Bangalore,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Providing financial access to the millions of mobile users in India using alternative credit assessment,2000000.0,2018
Carmel Organics,Indore,"Agriculture, AgTech, Manufacturing","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",1.0,2018
Roadcast,Delhi,—,Transforming the way businesses deliver. Work-force & fleet mobility tools.,250000.0,2018
Printline Media(ThePrint),Delhi,"Digital Media, News, Publishing",A digital news platform.,510312.5017775033,2018
Creditas Solutions,Gurgaon,Financial Services,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,1.0,2018
UrbanPiper,Bangalore,Software,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,1.0,2018
Doxper,Mumbai,"Health Care, Hospital",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,1052793.699942127,2018
i2ifunding,Noida,"Crowdfunding, Finance, Financial Services",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,731106.7360709216,2018
ShakeDeal,Bangalore,"B2B, E-Commerce, Enterprise",Home of B2B Commerce,1.0,2018
HelloVerify,Noida,"Fraud Detection, Information Services, Security",HelloVerify is an online background check platform.,1.0,2018
Fasal,Bangalore,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Climate Smart Precision Agriculture Platform,120000.0,2018
CoinGeto,Delhi,"Cryptocurrency, Trading Platform",CoinGeto is one of India’s most advanced digital assets exchange.,1754656.1665702118,2018
Avail Finance,Bangalore,"Finance, FinTech, Mobile Payments",Avail is a mobile-first platform aiming to financially include the urban mass of India.,17200000.0,2018
Tripeur,Bangalore,Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,600000.0,2018
Wedeterna,Bangalore,Wedding,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",1.0,2018
Stumagz,Hyderabad,Digital Media,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,1.0,2018
Doubtnut,Gurgaon,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Gurgaon based E-learning platform.,511774.7152496451,2018
MCaffeine,Mumbai,Consumer Goods,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,467908.3110853898,2018
TrustCheckr,Bangalore,Information Technology,A Bengaluru-based fraud analytics solution provider .,100000.0,2018
HealthAssure,Mumbai,"Fitness, Health Care, Wellness",HealthAssure provides access to Discounted & High Quality primary care medical network.,1000000.0,2018
Picture TIme,Delhi,Digital Entertainment,Operator of low-cost mobile cinema theatres in rural areas.,3655533.680354608,2018
1Crowd,Mumbai,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,3500000.0,2018
Aarav Unmanned Systems,Bangalore,"Delivery, Drones, Geospatial, Robotics",Professional Drones for Enterprise Applications,1.0,2018
Wellthy Therapeutics Pvt Ltd,Mumbai,"Health Care, Hospital","Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",1973988.1873914883,2018
Nua,Mumbai,Consumer Goods,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,1.0,2018
Kuvera.in,Bangalore,Financial Services,An online platform for mutual fund investments.,250000.0,2018
Livehealth,Pune,"Health Care, Information Technology, Management Information Systems",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,1100000.0,2018
Gramophone,Indore,Farming,An agricultural inputs startup Company.,1000000.0,2018
Ora,Kolkata,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,1.0,2018
Buddy4Study.com,Noida,"Career Planning, Education, Higher Education, Service Industry",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,3000000.0,2018
Predible Health,Bangalore,Medical Device,Healthcare devices for cancer detection,1.0,2018
Syncremedies Healthcare Pvt Ltd,Bangalore,"Alternative Medicine, Health Care","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",1.0,2018
Blueleaf Cyberspace Systems,Bangalore,"Internet, Software",Bluleaf Cyberspace is Cloud Based Software Company.,1.0,2018
Toffee,Gurgaon,—,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",1500000.0,2018
ORO Wealth,Mumbai,—,Online wealth management platform,1600000.0,2018
HealWell24,Mumbai,"Dental, Elder Care, Health Care, Home Health Care, Personal Health","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",200000.0,2018
Acko General Insurance,Mumbai,"Financial Services, Insurance, Private Social Networking",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,12000000.0,2018
arzooo.com,Bangalore,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,219332.02082127647,2018
Bonphul Air Products,Delhi,CleanTech,A clean tech product Company,292442.69442836865,2018
DheeYantra Research Labs,Bangalore,Artificial Intelligence,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",1.0,2018
Edyoo,Bangalore,Education,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",1000000.0,2018
Chtrbox,Mumbai,"Advertising, Internet, Marketing",Chtrbox connects social media influencers with brands .,146221.34721418432,2018
Aashiyaan Housing and Development Finance,Kolkata,Financial Services,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,1973988.1873914883,2018
BetterPlace Safety Solutions Pvt. Ltd.,Bangalore,"Human Resources, Security, Training","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",3000000.0,2018
Cashkumar,Bangalore,"Consumer Lending, Finance, FinTech",A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,731106.7360709216,2018
Rocketium,Bangalore,"Marketing, Social Media, Video",Easy video creation for social media.,292442.69442836865,2018
FreightBazaar,Hyderabad,Transportation,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,1.0,2018
OPEN,Bangalore,Banking,Open up to a new world of Banking,1.0,2018
mfine,Bangalore,"Health Care, Hospital",Hospital & Health Care Start up,4200000.0,2018
Earth Food,Pune,"Food and Beverage, Food Processing",Earth Food is a healthy Food Start Up.,935816.6221707796,2018
Charcoal Eats,Mumbai,Food Processing,Charcoal Eats aims to bring Dominos style standardisation.,731106.7360709216,2018
Wishfie,Bangalore,Apps,A platform for people to express their opinions in form of short videos around any topic.,1.0,2018
The Social Hook,Bangalore,Marketing,Fast growing Influencer Marketing platform in India.,1.0,2018
FreightBro,Mumbai,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Software for the new-age freight,1.0,2018
Finwego,Chennai,—,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,1.0,2018
Cricnwin,Gurgaon,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Cricnwin is a Gurugram - based Fan Engagement Platform,1.0,2018
TheCollegeFever,Bangalore,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2018
Wicked Ride Adventure Services Private Limited,Bangalore,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Peer-to-Peer motor vehicles sharing,10000000.0,2018
Career Anna,Bangalore,"Commercial, E-Learning, Education",India's Go to Career Commerce Portal,584885.3888567373,2018
ERUDITUS Executive Education,Mumbai,"Continuing Education, EdTech, Education, Skill Assessment","Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",40000000.0,2018
Gaia Smart Cities,Mumbai,"Smart Cities, Telecommunications",Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,1.0,2018
Square Off,Mumbai,"Internet of Things, Robotics",Delivering Imagination,1100000.0,2018
